E0: TD=1.2407
E1: TD=1.1441
E2: TD=1.0794
E3: TD=1.0130
E4: TD=0.9595
E5: TD=1.0198
E6: TD=0.9198
E7: TD=0.8706
E8: TD=0.8370
E9: TD=0.8145
E10: TD=0.9906
E11: TD=0.9027
E12: TD=0.8600
E13: TD=0.8476
E14: TD=0.8120
E15: TD=1.0154
E16: TD=0.9338
E17: TD=0.9138
E18: TD=0.8759
E19: TD=0.8670
  Eval: avg=-455 wins=0/10
E20: TD=1.0687
E21: TD=1.0120
E22: TD=0.9714
E23: TD=0.9577
E24: TD=0.9335
E25: TD=1.1362
E26: TD=1.0779
E27: TD=1.0427
E28: TD=1.0297
E29: TD=1.0034
E30: TD=1.2068
E31: TD=1.1489
E32: TD=1.1255
E33: TD=1.0983
E34: TD=1.0747
E35: TD=1.2808
E36: TD=1.2118
E37: TD=1.1928
E38: TD=1.1681
E39: TD=1.1459
  Eval: avg=-403 wins=0/10
E40: TD=1.3279
E41: TD=1.2693
E42: TD=1.2532
E43: TD=1.2209
E44: TD=1.1830
E45: TD=1.3708
E46: TD=1.3110
E47: TD=1.2844
E48: TD=1.2535
E49: TD=1.2435
E50: TD=1.4161
E51: TD=1.3561
E52: TD=1.3202
E53: TD=1.3094
E54: TD=1.2803
E55: TD=1.4394
E56: TD=1.4057
E57: TD=1.3775
E58: TD=1.3290
E59: TD=1.3270
  Eval: avg=-406 wins=0/10
E60: TD=1.4941
E61: TD=1.4327
E62: TD=1.4170
E63: TD=1.3722
E64: TD=1.3315
E65: TD=1.4696
E66: TD=1.4173
E67: TD=1.4002
E68: TD=1.3724
E69: TD=1.3470
E70: TD=1.4868
E71: TD=1.4399
E72: TD=1.4324
E73: TD=1.4019
E74: TD=1.3481
E75: TD=1.5021
E76: TD=1.4561
E77: TD=1.4492
E78: TD=1.4005
E79: TD=1.3970
  Eval: avg=-406 wins=0/10
E80: TD=1.5096
E81: TD=1.4599
